label,companyName,companyAddress,phoneNumber,city,
"섬유, 의류, 봉제 제조",PARK’S MANUFACTURING,"Km7, National Road No.5m Tran Quy, Gia Lam, Hanoi",+842438767877,HA NOI,★★★☆☆
"섬유, 의류, 봉제 제조","HAIVINA HONG LINH Co.,Ltd","Nam Hong Industrial Zone, Dau Lieu Ward, Hong Linh Town Ha Tinh Privince",+842364765604,HA TINH,★★★★☆
"섬유, 의류, 봉제 제조","CKJ VINA CO.,LTD","La Giang, Van To, Tu Ky, Hai Duong",,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조","DAIN TOYS VINA CO.,LTD","Lot 1 Hoang Dieu I.G, Hoang Dieu, Gia Loc, Hai Duong",+842203711688,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조",EMBOSSA,"K52, 5A National Road, Cam Thuong, Hai Duong",+842203843876,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조",GG HAI DUONG CO.LTD,"Tieu Lam, Ngu Hung, Thanh Mien, Hai Duong",+842203651188,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조",HAHAE VIETNAM CORP,"Km50+460 highway no.5, Cam Thuong, Hai Duong city, Hai Duong",+842203846906,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조","HAIVINA CO.,LTD.","Lang Xuyen, Gia Tan, Gia Loc, Hai Duong",+842203717500,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","HK VINA CO.,LTD","Tieu Lam, Ngu Hung, Thanh Mien, Hai Duong",,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","J.PLUS CO.,LTD","Van Tu I.C, Tu Ky, Hai Duong",+842203740990,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조","JM BEA TRICE VIAN CO.,LTD","KM 42, 18A Highway, Hoang Tan, Chi Linh, Hai Duong",+842203590500,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","SEJIN VINA CO.,LTD","Thanh Xuyen, Dong Tam, Ninh Giang, Hai Duong BRANCH: An Lang, An Hoa, Vinh Bao, Hai Phong",+842203763616,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조","SHINTS BVT CO.,LTD","Thach khoi, Hai Duong BRANCH: Lot 7, Duong Tu Minh zone, Du Phu Duong, Thai Nguyen",+842203861727,HAI DUONG,★★★★☆
"섬유, 의류, 봉제 제조",SSV EXPORT GARMENT COMPANY,"Hoang Dieu I.z, Gia Loc, Hai Duong",+842203718301,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조","SUMMIT JC VINA CO.,LTD","Road 20a, Tan Hong Commune, Binh Giang, Hai Duong",,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","TAE IL VINA CO.,LTD","Phu Tai 2, Kim Dinh, Kim Thanh, Hai Duong",+842203950668,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","TAEKYUNG VINA CO.,LTD","Quan village, Minh Duc, Tu Ky, Hai Duong",+842203745124,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조",VERY VINA,"Khu Dong Truc, Quang Phuc, Tu Ky, Hai Duong",+842203746660,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조",YEJIN F&G VINA,"DT391, Quang Phuc, Tu ky, Hai Duong",+842203744696,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","YOUNGAN VINA CO.,LTD","Km3+900, Highway 183, An Dong Industrial Area, Nam Sach, Hai Duong",+842203759128,HAI DUONG,★★☆☆☆
"섬유, 의류, 봉제 제조","ZYJ CO.,LTD","Tu Ky, Hai Duong",+842213791907,HAI DUONG,★★★☆☆
"섬유, 의류, 봉제 제조",EVERPIA JSC.,"KCN TAN QUANG, TAN QUANG, VAN LAM, HUNG YEN, VIET NAM BRANCH: Cụm dân cư Nội Thương, Xã Dương Xá, Huyện Gia Lâm, Thành phố Hà Nội, Việt Nam",+84438276490,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조",FOREMART VIETNAM,"Bui Thi Cuc, An Thi, Hung Yen",+842213831866,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조","GG VIETNAM CO.,LTD","Minh Duc I.Z, Bach Sam Ward, My Hao Town, Hung Yen.",+84369804920,HUNG YEN,★★★★☆
"섬유, 의류, 봉제 제조",GLOBAL SOURCENET LTD,"Minh Khai, Nhu Quynh, Van Lam, Hung Yen",+842213986500,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조",GLORY LABEL VINA,"Phan Boi, Di Su, My Hao, Hung Yen",+842213766006,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조","HAN SUNG HA RAM CO.,LTD","Pho Noi Textile IZ Nghia Hiep, Yen My, Hung Yen",+842213589111,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조","HAPPY PEACE ONE MEMBER CO.,LTD","Tan Tien, Minh Tan, Phu Cu, Hung Yen",+842213551440,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조",INTER LOGO,"Minh Hai, Van Lam, Hung Yen",,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조",IS LOGO,"Trung Trac, Van Lam, Hung Yen",+842213997155,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조","KAI INTERNATIONAL VIETNAM CO.,LTD","Det may I.Z Pho Noi B, Yen My, Hung Yen",,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조",Linea Aqua Vietnam (PVT) LTD,"Plot No L1, Pho Noi B Textile & Garment Industrial Park,Di Su, My Hao, Hung Yen",+842213779808,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조","LUCKY ST VINA CO.,LTD","Pho Noi B I.Z, My Hao, Hung Yen",+842213900510,HUNG YEN,★★☆☆☆
"섬유, 의류, 봉제 제조",MIRAE FIBER JSC,"Lieu Xa, Yen My, Hung Yen",+842213974170,HUNG YEN,★★★☆☆
"섬유, 의류, 봉제 제조","MSK VINA CO.,LTD","Tan Quang, Van Lam, Hung Yen",+842213791909,HUNG YEN,★★★★☆
